index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
95,101.0 to 101.5,16,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
96,102.0 to 102.8333333,0,"[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
97,103.0 to 103.8333333,0,"[0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
98,104.0 to 104.875,0,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
99,105.0 to 105.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
100,106.0 to 106.875,0,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
101,107.0 to 107.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
102,108.0 to 108.875,0,"[0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
103,109.0 to 109.75,14,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",aMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
104,110.0 to 110.75,2,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",fMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,2/4ofCmaj,DF,green,4
105,111.0 to 111.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
106,112.0 to 112.75,0,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
107,113.0 to 113.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
108,114.0 to 114.75,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
109,115.0 to 115.75,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
