index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
50,54.0 to 54.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
51,55.0 to 55.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
52,56.0 to 56.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
53,57.0 to 57.0,0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
54,58.0 to 58.0,16,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,c#Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
55,59.0 to 59.0,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
56,60.0 to 60.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
57,62.0 to 62.0,3,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
58,63.0 to 63.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
59,65.0 to 65.0,3,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
60,66.0 to 66.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
61,68.0 to 68.0,16,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]",2,c#Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
62,69.0 to 69.5,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]",7,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,6-1ofC,A-CF,deepskyblue,7
63,70.0 to 70.75,12,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,AminTriad,ACE,steelblue,14
64,71.0 to 71.75,12,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",8,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,AminTriad,ACE,steelblue,14
65,72.0 to 72.75,9,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",7,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,6-1ofC,A-CF,deepskyblue,7
66,73.0 to 73.5,14,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofAmin,E-BCD,indigo,19
67,74.0 to 74.875,12,"[2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",0,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,AminTriad,ACE,steelblue,14
68,75.0 to 75.625,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",5,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
69,76.0 to 76.75,7,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,V7ofG,DF#AC,lime,18
70,77.0 to 77.75,13,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",7,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj5-1tet,BC-AG,darkviolet,12
71,78.0 to 78.625,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",5,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
72,79.0 to 79.75,7,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,V7ofG,DF#AC,lime,18
73,80.0 to 80.75,13,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",7,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj5-1tet,BC-AG,darkviolet,12
74,81.0 to 81.5,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",7,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,AminTriad,ACE,steelblue,14
75,82.0 to 82.75,12,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",8,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,AminTriad,ACE,steelblue,14
76,83.0 to 83.75,12,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",8,aMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,AminTriad,ACE,steelblue,14
77,84.0 to 84.75,12,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",3,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,AminTriad,ACE,steelblue,14
