index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
147,148.125 to 148.91666669999995,1,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",9,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
148,149.0 to 149.875,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
149,150.25 to 150.875,0,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
150,151.0 to 151.875,1,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
151,152.125 to 152.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
152,153.125 to 153.875,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
153,154.125 to 154.75,5,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
154,155.125 to 155.625,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
155,156.0 to 156.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
156,157.33333330000005 to 157.66666669999995,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
157,158.125 to 158.75,12,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0]",7,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
158,159.0 to 159.75,6,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
159,160.0 to 160.79166669999995,1,"[1, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
