index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
87,90.0 to 90.75,5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
88,91.0 to 91.91666667,7,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,V7ofG,DF#AC,lime,18
89,92.125 to 92.91666667,5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
90,93.0 to 93.875,5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
91,94.125 to 94.625,0,"[0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
92,95.0 to 95.75,0,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
93,96.125 to 96.875,3,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
94,97.0 to 97.75,3,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
95,98.125 to 98.875,3,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
96,99.25 to 99.75,10,"[0, 0, 2, 0, 1, 0, 1, 2, 0, 0, 0, 0]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Cmaj2-5tet,DEFG,violet,6
97,100.0 to 100.7083333,18,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,V-IofC,D-GBC,crimson,11
98,101.0 to 101.875,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
99,102.25 to 102.625,0,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
100,103.0 to 103.875,5,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
101,104.125 to 104.875,5,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
102,105.3333333 to 105.6666667,14,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,VofAmin,E-BCD,indigo,19
103,106.0 to 106.8333333,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,V-IofC,D-GBC,crimson,11
104,107.125 to 107.875,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,V-IofC,D-GBC,crimson,11
105,108.125 to 108.75,16,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",dMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
106,109.0 to 109.75,3,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1]",gMajor,Piano Sonata K330 iii C major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
