index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
90,90.0 to 90.75,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
91,91.0 to 91.75,1,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
92,92.0 to 92.0,4,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
93,93.0 to 93.5,13,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
94,94.0 to 94.0,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
95,95.0 to 95.75,12,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",1,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
96,96.0 to 96.75,5,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
97,97.0 to 97.75,0,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
98,98.0 to 98.75,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
99,99.0 to 99.75,1,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
100,100.0 to 100.0,4,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
101,101.0 to 101.5,13,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
102,102.0 to 102.0,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
103,103.0 to 103.75,12,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",1,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
104,104.0 to 104.75,5,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
105,105.0 to 105.75,0,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
106,106.0 to 106.75,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
107,107.0 to 107.75,7,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
108,108.0 to 108.75,6,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 2]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
109,109.0 to 109.75,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
110,110.0 to 110.0,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
111,111.5 to 111.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
112,112.0 to 112.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
113,113.0 to 113.625,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
114,114.0 to 114.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
115,115.0 to 115.625,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
116,116.0 to 116.875,15,"[2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
117,117.0 to 117.875,19,"[1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0]",8,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
118,118.0 to 118.75,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
119,119.0 to 119.75,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0]",7,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
120,120.0 to 120.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
121,121.0 to 121.625,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
122,122.0 to 122.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
123,123.0 to 123.625,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
124,124.0 to 124.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
125,125.0 to 125.875,5,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
126,126.0 to 126.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
127,127.0 to 127.875,5,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
128,128.0 to 128.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
129,129.0 to 129.875,2,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
130,130.0 to 130.75,8,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
131,131.0 to 131.875,9,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
132,132.0 to 132.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
133,133.0 to 133.75,1,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
134,134.0 to 134.75,5,"[0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
135,135.0 to 135.75,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,c#Major,Piano Sonata K279 iii C major.mid by Mozart.csv
136,136.0 to 136.75,6,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 2]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
137,137.0 to 137.75,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
138,138.0 to 138.75,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
139,139.0 to 139.75,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
140,140.0 to 140.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
141,141.0 to 141.75,0,"[1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
142,142.0 to 142.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
143,143.0 to 143.75,18,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,dMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
144,144.0 to 144.75,12,"[1, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0]",5,aMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
145,145.0 to 145.875,13,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
146,146.0 to 146.75,0,"[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
147,147.0 to 147.875,18,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
148,148.0 to 148.875,9,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
149,149.0 to 149.875,3,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
150,150.0 to 150.75,0,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
151,151.0 to 151.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
152,152.0 to 152.875,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
153,153.0 to 153.875,3,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
154,154.0 to 154.0,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
155,155.5 to 155.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
156,156.0 to 156.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
157,157.0 to 157.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
158,158.0 to 158.875,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",2,gMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
159,159.0 to 159.5,0,"[0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
