index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
91,94.0 to 94.5,1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16
92,95.0 to 95.5,3,"[1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
93,96.0 to 96.5,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
94,97.0 to 97.5,1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16
95,98.0 to 98.5,18,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
96,99.0 to 99.5,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
97,100.0 to 100.5,1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16
98,101.0 to 101.5,0,"[0, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
99,102.0 to 102.5,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3
100,103.0 to 103.5,11,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
101,104.0 to 104.5,4,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
102,105.0 to 105.75,7,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
