index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
71,75.0 to 75.875,3,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
72,76.0 to 76.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
73,77.0 to 77.75,17,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
74,78.0 to 78.75,17,"[3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
75,79.0 to 79.75,17,"[3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
76,80.0 to 80.875,18,"[1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 2]",2,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
77,81.0 to 81.75,5,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2]",2,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
78,82.0 to 82.75,2,"[0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 1]",2,b-Major,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
79,83.0 to 83.75,2,"[0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 1]",2,b-Major,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
80,84.0 to 84.875,17,"[2, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
81,85.0 to 85.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
82,86.0 to 86.875,18,"[2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1]",0,e-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
83,87.0 to 87.75,18,"[1, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0]",0,e-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
84,88.0 to 88.75,7,"[1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
85,89.0 to 89.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
86,90.0 to 90.75,11,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
87,91.0 to 91.75,11,"[0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
88,92.0 to 92.875,11,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 2, 0]",3,b-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
89,93.0 to 93.875,11,"[0, 2, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
90,94.0 to 94.66666667,11,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,b-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
91,95.0 to 95.0,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
92,96.0 to 96.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
93,97.0 to 97.75,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
94,98.0 to 98.75,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
95,99.0 to 99.875,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
96,100.0 to 100.75,6,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
97,101.0 to 101.75,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
98,102.0 to 102.75,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
99,103.0 to 103.875,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
100,104.0 to 104.75,6,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
101,105.0 to 105.875,7,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",3,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
102,106.0 to 106.75,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
103,107.0 to 107.875,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
104,108.0 to 108.875,8,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",7,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
105,109.0 to 109.875,12,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",9,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14
106,110.0 to 110.875,6,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
