index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
62,65.0 to 65.75,9,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
63,66.0 to 66.875,11,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0]",6,gMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,iv_ofDmin,GBb-C#D,yellow,0
64,67.0 to 67.875,11,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0]",6,b-Minor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,iv_ofDmin,GBb-C#D,yellow,0
65,68.0 to 68.75,11,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 2, 0]",6,b-Major,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,iv_ofDmin,GBb-C#D,yellow,0
66,69.0 to 69.75,9,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
67,70.0 to 70.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",3,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
68,71.0 to 71.75,8,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",0,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj-root,C-EG,slateblue,2
69,72.0 to 72.875,19,"[1, 0, 0, 0, 1, 2, 0, 1, 0, 2, 1, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,4ofC,F-AC,cyan,1
70,73.0 to 73.875,15,"[2, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj1-4tet,C-DEF,blue,3
71,74.0 to 74.875,17,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,CmajTriad,CEG,blueviolet,5
72,75.0 to 75.875,19,"[1, 0, 0, 0, 1, 2, 0, 1, 0, 2, 1, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,4ofC,F-AC,cyan,1
73,76.0 to 76.875,15,"[2, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj1-4tet,C-DEF,blue,3
74,77.0 to 77.875,17,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,CmajTriad,CEG,blueviolet,5
75,78.0 to 78.875,19,"[1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0]",6,b-Major,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,4ofC,F-AC,cyan,1
76,79.0 to 79.875,11,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",6,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,iv_ofDmin,GBb-C#D,yellow,0
77,80.0 to 80.875,13,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",9,e-Major,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
78,81.0 to 81.875,1,"[0, 1, 1, 0, 1, 0, 2, 1, 0, 1, 0, 1]",9,dMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Gmaj-IV/vii,F#G-ACE,salmon,16
79,82.0 to 82.875,11,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",9,e-Major,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,iv_ofDmin,GBb-C#D,yellow,0
80,83.0 to 83.875,7,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",9,dMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,V7ofG,DF#AC,lime,18
81,84.0 to 84.875,18,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 2]",9,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,V-IofC,D-GBC,crimson,11
82,85.0 to 85.875,1,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",9,dMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Gmaj-IV/vii,F#G-ACE,salmon,16
83,86.0 to 86.875,15,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]",5,aMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj1-4tet,C-DEF,blue,3
84,87.0 to 87.875,14,"[0, 1, 0, 1, 1, 0, 1, 0, 2, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
85,88.0 to 88.875,13,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",5,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
86,89.0 to 89.875,2,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,2/4ofCmaj,DF,green,4
87,90.0 to 90.875,7,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0, 1]",2,dMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,V7ofG,DF#AC,lime,18
88,91.0 to 91.875,7,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",1,dMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,V7ofG,DF#AC,lime,18
89,92.0 to 92.875,13,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",5,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
