index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
109,110.0 to 110.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
110,111.0 to 111.875,18,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,V-IofC,D-GBC,crimson,11
111,112.3333333 to 112.875,6,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 2]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,GmajTriad,GBD,orange,13
112,113.0 to 113.875,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
113,114.0 to 114.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
114,115.25 to 115.6666667,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
115,116.0 to 116.875,0,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",4,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
116,117.25 to 117.6666667,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,Cmaj5-1tet,BC-AG,darkviolet,12
117,118.125 to 118.125,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
118,119.125 to 119.125,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,eMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
119,120.0 to 120.875,0,"[1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
120,121.0416667 to 121.75,18,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,V-IofC,D-GBC,crimson,11
121,122.125 to 122.5,18,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv,1783,V-IofC,D-GBC,crimson,11
