index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
76,80.0 to 80.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",2,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
77,81.0 to 81.75,7,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
78,82.0 to 82.875,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
79,83.0 to 83.75,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",2,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
80,84.0 to 84.75,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
81,85.0 to 85.75,19,"[0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 2]",7,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
82,86.0 to 86.875,12,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",7,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
83,87.0 to 87.75,2,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
84,88.0 to 88.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",3,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
85,89.0 to 89.875,7,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
86,90.0 to 90.875,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
87,91.0 to 91.75,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",2,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
88,92.0 to 92.75,7,"[2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
89,93.0 to 93.91666667,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 1]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
90,94.0 to 94.75,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",2,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
91,95.0 to 95.75,12,"[0, 0, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
92,96.0 to 96.75,15,"[3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3]",0,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
93,97.0 to 97.75,1,"[1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 1]",5,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
94,98.0 to 98.75,16,"[0, 0, 0, 0, 3, 0, 3, 1, 0, 1, 0, 0]",6,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
95,99.0 to 99.75,0,"[3, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0]",7,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
96,100.0 to 100.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
97,101.0 to 101.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
98,102.0 to 102.75,0,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
99,103.0 to 103.875,0,"[3, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
100,104.0 to 104.75,1,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
101,105.0 to 105.75,19,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
102,106.0 to 106.875,19,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
103,107.0 to 107.75,7,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 1]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
104,108.0 to 108.875,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
105,109.0 to 109.75,12,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
106,110.0 to 110.75,16,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
107,111.0 to 111.75,7,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
108,112.0 to 112.875,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
109,113.0 to 113.75,12,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
110,114.0 to 114.75,16,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
111,115.0 to 115.75,7,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
112,116.0 to 116.875,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
113,117.0 to 117.75,12,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
114,118.0 to 118.75,16,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
115,119.0 to 119.875,7,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
116,120.0 to 120.75,5,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]",2,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
117,121.0 to 121.75,5,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 2]",2,bMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
118,122.0 to 122.75,15,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",2,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
119,123.0 to 123.75,15,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
120,124.0 to 124.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",3,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
121,125.0 to 125.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]",3,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
122,126.0 to 126.875,4,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
123,127.0 to 127.875,2,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",3,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
124,128.0 to 128.75,19,"[0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
125,129.0 to 129.75,19,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
126,130.0 to 130.875,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",2,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
127,131.0 to 131.75,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",2,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
128,132.0 to 132.875,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
129,133.0 to 133.75,12,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
130,134.0 to 134.75,16,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
131,135.0 to 135.75,7,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
132,136.0 to 136.875,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 2]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
133,137.0 to 137.75,12,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
134,138.0 to 138.75,16,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
135,139.0 to 139.75,7,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
136,140.0 to 140.875,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 2]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
137,141.0 to 141.75,12,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
138,142.0 to 142.75,16,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
139,143.0 to 143.875,7,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
140,144.0 to 144.875,16,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
141,145.0 to 145.875,15,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 2]",2,bMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
142,146.0 to 146.875,15,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
143,147.0 to 147.875,4,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 2]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
