index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
127,128.0 to 128.875,9,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
128,129.0 to 129.625,15,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",3,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
129,130.0 to 130.5,6,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",6,fMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
130,131.0 to 131.5,6,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",6,fMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
131,132.0 to 132.875,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
132,133.0 to 133.625,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
133,134.0 to 134.75,9,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
134,135.0 to 135.5,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
135,136.0 to 136.875,10,"[0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0]",5,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
136,137.0 to 137.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
137,138.0 to 138.875,10,"[0, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
138,139.0 to 139.5,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
139,140.0 to 140.5,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
140,141.0 to 141.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
141,142.0 to 142.875,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
142,143.0 to 143.25,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
143,144.0 to 144.875,15,"[2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
144,145.0 to 145.875,15,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2]",4,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
145,146.0 to 146.875,17,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",6,aMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
146,147.0 to 147.875,6,"[1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,b-Major,Piano Sonata K576 iii D major.mid by Mozart.csv
