index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
131,133.0 to 133.5,18,"[1, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
132,134.0 to 134.5,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
133,135.0 to 135.875,10,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
134,136.0 to 136.83333330000002,18,"[0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
135,137.0 to 137.875,18,"[1, 0, 1, 0, 1, 3, 0, 1, 0, 2, 0, 1]",2,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
136,138.125 to 138.625,0,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
137,139.0 to 139.875,4,"[1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
138,140.0 to 140.875,1,"[1, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 2]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
139,141.0 to 141.875,15,"[1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 1]",7,gMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
140,142.0 to 142.875,1,"[1, 0, 1, 0, 1, 2, 0, 2, 0, 1, 0, 2]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
141,143.0 to 143.875,2,"[2, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1]",5,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
142,144.125 to 144.875,13,"[1, 0, 0, 0, 2, 1, 0, 2, 0, 1, 0, 0]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
143,145.0 to 145.79166669999995,19,"[1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
144,146.0 to 146.625,0,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
145,147.0 to 147.66666669999995,5,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
146,148.0 to 148.875,13,"[1, 0, 1, 0, 2, 2, 0, 2, 0, 1, 0, 0]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
147,149.0 to 149.875,18,"[0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 2]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
148,150.0 to 150.91666669999995,6,"[2, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
149,151.0 to 151.95833330000005,1,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 2, 0, 1]",3,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
150,152.0 to 152.91666669999995,13,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
151,153.0 to 153.75,13,"[2, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
152,154.0 to 154.875,13,"[3, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
