index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
296,297.0 to 297.75,2,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",2,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
297,298.0 to 298.75,3,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",8,c#Major,Piano Sonata K570 ii Eb major.mid by Mozart.csv
298,299.0 to 299.0,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,cMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
299,300.0 to 300.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1,dMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
300,301.0 to 301.75,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",2,dMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
301,302.0 to 302.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
302,303.0 to 303.75,19,"[1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
303,304.0 to 304.75,2,"[2, 0, 1, 0, 2, 1, 0, 0, 0, 2, 0, 0]",9,cMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
304,305.0 to 305.75,1,"[1, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
305,306.0 to 306.75,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
306,307.0 to 307.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
307,308.0 to 308.75,10,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
308,309.0 to 309.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
309,310.0 to 310.75,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
310,311.0 to 311.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
311,312.0 to 312.0,10,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
312,314.0 to 314.0,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
