index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
90,91.0 to 91.875,13,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
91,92.0 to 92.75,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1]",6,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
92,93.0 to 93.875,1,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
93,94.0 to 94.75,9,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0]",8,aMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
94,95.0 to 95.875,1,"[1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
95,96.0 to 96.75,3,"[1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
96,97.0 to 97.875,14,"[1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1]",5,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
97,98.0 to 98.75,1,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
98,99.0 to 99.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",8,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
99,100.0 to 100.75,1,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
100,101.0 to 101.875,18,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
101,102.0 to 102.75,1,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",8,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
102,103.0 to 103.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
103,104.0 to 104.75,18,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
104,105.0 to 105.75,18,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
105,106.0 to 106.875,12,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",4,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
106,107.0 to 107.5,12,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",2,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
107,108.0 to 108.5,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",3,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
108,109.0 to 109.5,14,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
109,110.125 to 110.875,14,"[1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
110,111.0 to 111.5,14,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
111,112.0 to 112.75,13,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",4,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
112,113.25 to 113.875,14,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",2,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
113,114.3333333 to 114.875,13,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",4,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
114,115.3333333 to 115.875,14,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
115,116.0 to 116.75,18,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
116,117.0 to 117.875,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,GmajTriad,GBD,orange,13
117,118.0 to 118.875,7,"[1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",8,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
118,119.0 to 119.75,0,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
119,120.0 to 120.75,3,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
120,121.0 to 121.75,3,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
121,122.0 to 122.75,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0]",8,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
122,123.0 to 123.75,7,"[0, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",8,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
123,124.0 to 124.75,6,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,GmajTriad,GBD,orange,13
124,125.0 to 125.75,6,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2]",0,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,GmajTriad,GBD,orange,13
125,126.0 to 126.75,12,"[2, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0]",8,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
