index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
58,58.0 to 58.75,5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
59,59.0 to 59.75,1,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
60,60.0 to 60.75,1,"[0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
61,61.0 to 61.75,9,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0]",5,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
62,62.0 to 62.75,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 3]",9,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
63,63.0 to 63.66666667,13,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",9,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
64,64.0 to 64.66666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
65,65.0 to 65.66666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
66,66.0 to 66.66666667,11,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",8,aMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,iv_ofDmin,GBb-C#D,yellow,0
67,67.0 to 67.66666667,4,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
68,68.0 to 68.66666667,4,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
69,69.0 to 69.66666667,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2]",9,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
70,70.0 to 70.66666667,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
71,71.0 to 71.66666667,5,"[0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
72,72.0 to 72.875,3,"[0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",8,gMinor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
73,73.0 to 73.91666667,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
74,74.0 to 74.91666667,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
75,75.0 to 75.91666667,3,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 1, 0, 1]",1,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
