index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
79,83.0 to 83.875,15,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",3,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3
80,84.0 to 84.66666667,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
81,85.0 to 85.75,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
82,86.0 to 86.5,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
83,88.0 to 88.0,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
84,89.0 to 89.5,1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",9,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16
85,90.0 to 90.5,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10
86,91.0 to 91.5,14,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
87,92.0 to 92.75,7,"[0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
88,93.0 to 93.83333333,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
89,94.0 to 94.75,0,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",9,aMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
90,95.0 to 95.75,0,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
91,96.0 to 96.75,4,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
92,97.0 to 97.75,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
93,98.0 to 98.83333333,18,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",9,dMinor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
94,99.0 to 99.625,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1]",4,dMinor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
95,100.0 to 100.875,12,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",7,cMinor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14
96,101.0 to 101.75,12,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",7,cMinor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14
97,102.0 to 102.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
98,103.0 to 103.75,13,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",7,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
99,104.0 to 104.75,14,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,aMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
100,105.0 to 105.75,1,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16
101,106.0 to 106.5,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10
102,107.0 to 107.5,14,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
103,108.0 to 108.8333333,0,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",9,aMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
104,109.0 to 109.8333333,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
105,110.0 to 110.8333333,0,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",9,aMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
106,111.0 to 111.75,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
107,112.0 to 112.8333333,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
108,113.0 to 113.625,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
109,114.0 to 114.75,0,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",9,f#Major,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
110,115.0 to 115.75,5,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",9,dMinor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
111,116.0 to 116.75,14,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",7,eMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
112,117.0 to 117.75,12,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",1,cMinor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14
113,118.0 to 118.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
114,119.0 to 119.75,18,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
115,120.0 to 120.75,13,"[2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2]",7,eMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
116,121.0 to 121.75,13,"[2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2]",7,eMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
117,122.0 to 122.75,8,"[3, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",3,cMinor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
118,123.0 to 123.75,15,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",5,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3
119,124.0 to 124.75,5,"[0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1]",4,b-Minor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
120,125.0 to 125.75,5,"[0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1]",4,b-Minor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
121,126.0 to 126.875,2,"[0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 1]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
122,127.0 to 127.75,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
123,128.0 to 128.75,4,"[1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
124,129.0 to 129.75,4,"[1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
125,130.0 to 130.875,17,"[1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
