index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
57,174.0 to 176.875,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0]",8,b-Minor,Piano Sonata K332 i F major.mid by Mozart.csv
58,177.0 to 179.875,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
59,180.0 to 182.875,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0]",8,b-Minor,Piano Sonata K332 i F major.mid by Mozart.csv
60,183.0 to 185.875,"[2, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0]",5,e-Minor,Piano Sonata K332 i F major.mid by Mozart.csv
61,186.0 to 188.875,"[1, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv
62,189.0 to 191.875,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 2, 0]",8,b-Major,Piano Sonata K332 i F major.mid by Mozart.csv
63,192.0 to 194.875,"[1, 0, 1, 3, 0, 0, 0, 1, 0, 2, 0, 0]",5,e-Minor,Piano Sonata K332 i F major.mid by Mozart.csv
64,195.0 to 197.875,"[1, 0, 3, 0, 0, 0, 1, 1, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
65,198.0 to 200.875,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",8,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
66,201.0 to 203.5,"[1, 1, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
67,204.0 to 206.5,"[1, 1, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
