index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
423,428.0 to 428.5,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,4
424,429.0 to 429.5,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,4
425,430.0 to 430.75,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,4
426,431.0 to 431.5,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,4
427,432.0 to 432.75,10,"[0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,4
428,433.0 to 433.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,4
429,434.0 to 434.75,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,4
430,435.0 to 435.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5,4
431,436.0 to 436.75,18,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,4
432,437.0 to 437.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,4
