CentroidLabelIndex_entireUnits,filename,counts
12,Piano Sonata K570 i Bb major.mid by Mozart.csv,44
12,Piano Sonata K570 ii Eb major.mid by Mozart.csv,5
12,Piano Sonata K576 iii D major.mid by Mozart.csv,15
13,Piano Sonata K279 i C major.mid by Mozart.csv,10
13,Piano Sonata K279 ii F major.mid by Mozart.csv,7
13,Piano Sonata K279 iii C major.mid by Mozart.csv,12
13,Piano Sonata K280 i F major.mid by Mozart.csv,14
13,Piano Sonata K282 i Eb major.mid by Mozart.csv,36
13,Piano Sonata K283 i G major.mid by Mozart.csv,8
13,Piano Sonata K284 i D major.mid by Mozart.csv,26
13,Piano Sonata K284 ii A major.mid by Mozart.csv,25
13,Piano Sonata K309 i C major.mid by Mozart.csv,8
13,Piano Sonata K309 ii F major.mid by Mozart.csv,19
13,Piano Sonata K309 iii C major.mid by Mozart.csv,49
13,Piano Sonata K311 ii G major.mid by Mozart.csv,2
13,Piano Sonata K330 i C major.mid by Mozart.csv,50
13,Piano Sonata K330 iii C major.mid by Mozart.csv,46
13,Piano Sonata K332 i F major.mid by Mozart.csv,8
13,Piano Sonata K332 ii Bb major.mid by Mozart.csv,9
13,Piano Sonata K333 i Bb major.mid by Mozart.csv,7
13,Piano Sonata K372a i Bb major.mid by Mozart.csv,28
13,Piano Sonata K494 ii Bb major.mid by Mozart.csv,12
13,Piano Sonata K545 i C major.mid by Mozart.csv,13
13,Piano Sonata K545 iii C major.mid by Mozart.csv,9
13,Piano Sonata K570 i Bb major.mid by Mozart.csv,7
13,Piano Sonata K570 ii Eb major.mid by Mozart.csv,14
13,Piano Sonata K576 ii A major.mid by Mozart.csv,13
13,Piano Sonata K576 iii D major.mid by Mozart.csv,28
14,Piano Sonata K279 i C major.mid by Mozart.csv,5
14,Piano Sonata K279 ii F major.mid by Mozart.csv,1
14,Piano Sonata K279 iii C major.mid by Mozart.csv,5
14,Piano Sonata K280 i F major.mid by Mozart.csv,9
14,Piano Sonata K282 i Eb major.mid by Mozart.csv,12
14,Piano Sonata K283 i G major.mid by Mozart.csv,3
14,Piano Sonata K284 i D major.mid by Mozart.csv,28
14,Piano Sonata K284 ii A major.mid by Mozart.csv,3
14,Piano Sonata K309 i C major.mid by Mozart.csv,44
14,Piano Sonata K309 iii C major.mid by Mozart.csv,7
14,Piano Sonata K311 i D major.mid by Mozart.csv,8
14,Piano Sonata K311 ii G major.mid by Mozart.csv,4
14,Piano Sonata K330 i C major.mid by Mozart.csv,2
14,Piano Sonata K330 iii C major.mid by Mozart.csv,11
14,Piano Sonata K332 i F major.mid by Mozart.csv,39
14,Piano Sonata K333 i Bb major.mid by Mozart.csv,9
14,Piano Sonata K372a i Bb major.mid by Mozart.csv,18
14,Piano Sonata K457 ii Eb major.mid by Mozart.csv,171
14,Piano Sonata K494 ii Bb major.mid by Mozart.csv,18
14,Piano Sonata K545 i C major.mid by Mozart.csv,7
14,Piano Sonata K570 i Bb major.mid by Mozart.csv,19
14,Piano Sonata K570 ii Eb major.mid by Mozart.csv,6
14,Piano Sonata K576 ii A major.mid by Mozart.csv,6
14,Piano Sonata K576 iii D major.mid by Mozart.csv,6
15,Piano Sonata K279 i C major.mid by Mozart.csv,40
15,Piano Sonata K279 ii F major.mid by Mozart.csv,7
15,Piano Sonata K279 iii C major.mid by Mozart.csv,23
15,Piano Sonata K280 i F major.mid by Mozart.csv,22
15,Piano Sonata K282 i Eb major.mid by Mozart.csv,13
15,Piano Sonata K283 i G major.mid by Mozart.csv,26
15,Piano Sonata K284 i D major.mid by Mozart.csv,50
15,Piano Sonata K284 ii A major.mid by Mozart.csv,21
15,Piano Sonata K309 i C major.mid by Mozart.csv,23
15,Piano Sonata K309 ii F major.mid by Mozart.csv,18
15,Piano Sonata K309 iii C major.mid by Mozart.csv,29
15,Piano Sonata K311 ii G major.mid by Mozart.csv,9
15,Piano Sonata K330 i C major.mid by Mozart.csv,52
