index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
151,152.125 to 152.875,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
152,153.125 to 153.875,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
153,154.125 to 154.75,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
154,155.125 to 155.625,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
155,156.0 to 156.875,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
156,157.33333330000005 to 157.66666669999995,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
157,158.125 to 158.75,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0]",7,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
158,159.0 to 159.75,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
159,160.0 to 160.79166669999995,"[1, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
160,161.0 to 161.75,"[1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
161,162.0 to 162.875,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
162,163.0 to 163.875,"[2, 0, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
163,164.125 to 164.875,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",2,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
164,165.0 to 165.875,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
165,166.0 to 166.91666669999995,"[2, 0, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
