index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
89,90.0 to 90.75,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
90,91.0 to 91.75,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
91,92.0 to 92.75,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
92,93.0 to 93.75,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
93,94.0 to 94.75,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
94,95.0 to 95.75,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
95,96.0 to 96.5,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
96,97.0 to 97.5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
97,98.0 to 98.875,"[1, 0, 1, 0, 1, 0, 1, 2, 0, 2, 0, 0]",2,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
98,99.0 to 99.5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
99,100.0 to 100.875,"[1, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
100,101.0 to 101.875,"[1, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
101,102.0 to 102.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
102,103.0 to 103.5,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
103,104.0 to 104.875,"[1, 0, 1, 0, 1, 0, 1, 2, 0, 2, 0, 0]",2,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
104,105.0 to 105.5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
105,106.0 to 106.9166667,"[1, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
106,107.0 to 107.875,"[1, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
107,108.0 to 108.0,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
108,109.0 to 109.875,"[1, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 2]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
