index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
103,416.0 to 419.75,"[0, 0, 1, 0, 1, 1, 1, 2, 0, 1, 2, 0]",0,b-Minor,Piano Sonata K284 i D major.mid by Mozart.csv
104,420.0 to 423.75,"[0, 1, 1, 0, 2, 2, 0, 1, 1, 2, 0, 0]",5,aMajor,Piano Sonata K284 i D major.mid by Mozart.csv
105,424.0 to 427.75,"[1, 1, 1, 0, 2, 1, 0, 1, 1, 2, 1, 0]",5,aMajor,Piano Sonata K284 i D major.mid by Mozart.csv
106,428.0 to 431.75,"[0, 1, 2, 0, 1, 3, 0, 2, 0, 2, 1, 0]",5,fMinor,Piano Sonata K284 i D major.mid by Mozart.csv
107,432.0 to 435.75,"[1, 1, 2, 0, 1, 2, 0, 0, 0, 1, 0, 1]",5,fMinor,Piano Sonata K284 i D major.mid by Mozart.csv
108,436.0 to 439.75,"[1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 0, 1]",8,eMajor,Piano Sonata K284 i D major.mid by Mozart.csv
109,440.0 to 443.75,"[1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 0, 1]",5,eMajor,Piano Sonata K284 i D major.mid by Mozart.csv
110,444.0 to 447.83333330000005,"[3, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0]",3,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
111,448.0 to 451.875,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1]",8,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
112,452.0 to 455.875,"[0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2, 1]",1,gMinor,Piano Sonata K284 i D major.mid by Mozart.csv
113,456.0 to 459.875,"[0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0]",0,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
114,460.0 to 463.875,"[1, 0, 2, 0, 0, 2, 0, 0, 2, 1, 0, 0]",5,fMinor,Piano Sonata K284 i D major.mid by Mozart.csv
115,464.0 to 467.75,"[0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 1]",5,c#Major,Piano Sonata K284 i D major.mid by Mozart.csv
116,468.0 to 471.75,"[2, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 3]",7,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
117,472.0 to 475.875,"[1, 0, 1, 1, 2, 0, 0, 3, 2, 0, 1, 1]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
118,476.0 to 479.875,"[1, 0, 0, 2, 2, 2, 0, 1, 1, 0, 1, 0]",5,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
119,480.0 to 483.75,"[2, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",5,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
120,484.0 to 487.75,"[1, 0, 1, 0, 1, 0, 1, 3, 0, 1, 0, 1]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
121,488.0 to 491.75,"[1, 0, 2, 0, 2, 2, 0, 1, 0, 1, 0, 1]",5,fMinor,Piano Sonata K284 i D major.mid by Mozart.csv
122,492.0 to 495.75,"[4, 0, 2, 0, 2, 2, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
123,496.0 to 499.5,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 2, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
124,500.0 to 503.875,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 2, 0, 2]",9,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
125,504.0 to 507.625,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
126,508.0 to 511.625,"[1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 1]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
127,512.0 to 515.625,"[1, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 1]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
128,516.0 to 519.75,"[1, 1, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0]",5,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
129,520.0 to 523.75,"[2, 0, 3, 0, 2, 2, 2, 2, 0, 2, 0, 2]",9,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
130,524.0 to 527.6666667,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]",7,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
131,528.0 to 531.5,"[2, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 1]",7,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
